action	faculty_id	name	affiliation_added
updated	intake_aravinda_chakravarti	Aravinda Chakravarti	Neuroscience
updated	intake_hakhamanesh_mostafavi	Hakhamanesh Mostafavi	Center for Human Genetics and Genomics
updated	micro_ralf_duerr	Ralf Duerr, MD, PhD	Medicine
updated	micro_bo_shopsin	Bo Shopsin, MD, PhD	Medicine
updated	micro_ramin_herati	Ramin Herati, MD	Medicine
added	intake_chakravarti_s	Shukti Chakravarti	Ophthalmology
added	intake_ellicott_m	Matthay Ellicott	Population Health
