pdf_path	top_candidates(fid|name|score)
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/ISG/Paolo, Mita/elife-30058-v2_anonymous.pdf	micro_jeffrey_n_weiser|Jeffrey N. Weiser, MD|3; intake_jef_d_boeke|Jef D. Boeke|3; intake_ran_brosh|Ran Brosh|3; intake_liam_holt|Liam Holt|3; intake_paolo_mita|Paolo Mita|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/ISG/Paolo, Mita/s41594-020-0374-z_anonymous.pdf	micro_jeffrey_n_weiser|Jeffrey N. Weiser, MD|3; intake_jef_d_boeke|Jef D. Boeke|3; intake_ran_brosh|Ran Brosh|3; intake_liam_holt|Liam Holt|3; intake_paolo_mita|Paolo Mita|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Medicine/Duerr, Ralf/DeVries et al., NatProtocols 2023oct_Generati_anonymous.pdf	micro_ralf_duerr|Ralf Duerr, MD, PhD|12; intake_aravinda_chakravarti|Aravinda Chakravarti|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Medicine/Duerr, Ralf/Kottkamp et al., NEJM 2023dec_mpox immunity a_anonymous.pdf	micro_ralf_duerr|Ralf Duerr, MD, PhD|12; intake_aravinda_chakravarti|Aravinda Chakravarti|3; micro_k_heran_darwin|K. Heran Darwin, PhD|2
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Medicine/Duerr, Ralf/Oom et al., JVI 2025mar_The two-dose MVA-BN m_anonymous.pdf	micro_ralf_duerr|Ralf Duerr, MD, PhD|12; intake_aravinda_chakravarti|Aravinda Chakravarti|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Medicine/Herati, Ramin/eaag2152.full_mainText_anonymous.pdf	micro_ramin_herati|Ramin Herati, MD|12; intake_aravinda_chakravarti|Aravinda Chakravarti|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Medicine/Herati, Ramin/mmc6_anonymous.pdf	micro_ramin_herati|Ramin Herati, MD|12; intake_aravinda_chakravarti|Aravinda Chakravarti|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Medicine/Herati, Ramin/s41590-022-01274-3_anonymous.pdf	micro_ramin_herati|Ramin Herati, MD|12; intake_aravinda_chakravarti|Aravinda Chakravarti|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Medicine/Herati, Ramin/sciimmunol.adj8526_anonymous.pdf	micro_ramin_herati|Ramin Herati, MD|12; intake_aravinda_chakravarti|Aravinda Chakravarti|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Medicine/Herati, Ramin/scitranslmed.abi8961_anonymous.pdf	micro_ramin_herati|Ramin Herati, MD|12; intake_aravinda_chakravarti|Aravinda Chakravarti|3; intake_ran_brosh|Ran Brosh|2
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Medicine/Shopsin, Bo/Karagounis et al_anonymous.pdf	micro_bo_shopsin|Bo Shopsin, MD, PhD|12; intake_aravinda_chakravarti|Aravinda Chakravarti|3; micro_k_heran_darwin|K. Heran Darwin, PhD|2
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Medicine/Shopsin, Bo/Ulrich et al_anonymous.pdf	micro_bo_shopsin|Bo Shopsin, MD, PhD|12; intake_aravinda_chakravarti|Aravinda Chakravarti|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Medicine/Shopsin, Bo/copin et al_anonymous.pdf	micro_bo_shopsin|Bo Shopsin, MD, PhD|12; intake_aravinda_chakravarti|Aravinda Chakravarti|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Medicine/Shopsin, Bo/podkowik et al_anonymous.pdf	micro_bo_shopsin|Bo Shopsin, MD, PhD|12; intake_aravinda_chakravarti|Aravinda Chakravarti|3; micro_k_heran_darwin|K. Heran Darwin, PhD|2
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Medicine/Shopsin, Bo/zhou et al_anonymous.pdf	micro_bo_shopsin|Bo Shopsin, MD, PhD|12; intake_aravinda_chakravarti|Aravinda Chakravarti|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Microbiology/Darwin, Andrew/AGS-MW MucA_anonymous.pdf	micro_andrew_j_darwin|Andrew J. Darwin, PhD|15; micro_k_heran_darwin|K. Heran Darwin, PhD|15; micro_joel_g_belasco|Joel G. Belasco, PhD|3; micro_ralf_duerr|Ralf Duerr, MD, PhD|3; micro_michael_j_garabedian|Michael J. Garabedian, PhD|3
